Product,Purchases,"Weight (g)","Average Delivery Time (Days)","Size (cm3)"
01af6a4592d74b6d41ceeede0bd8b417,1,6600,16,39375
01b0238705b6ae8e35c6fea837e6ae4a,1,900,11,880
01b660ebc1a0c293ccf9b117fa6dd8bb,1,350,6,9000
01b864cf36d60d972e2e29d8c5084d64,1,2400,8,16632
01bc2a3c12d6e588aecb54ffad194c13,2,4350,17,8000
01c2e91674406ebaca6a1bbf7f61c3f0,1,600,6,5888
01c9a70868bec5b748c67fcc26ce5895,16,750,12,15300
01caf54032309b518a584331b8a673f6,1,800,4,14720
01cb96c64e8e35f29826a58963f6ecc5,1,7100,10,42527
01cdc6fbdb39fc792bb4c40164ce2331,1,7050,46,16728
01cf56cd6138b926a4802d16fc304149,6,100,12,4096
01cf7c4cffff8db0a1cbe612bd2d50a4,10,800,7,2200
01cfc3d9c29504c2d370933e53f002b4,2,400,8,2760
01d4157fd9738ea81038316ae4cfc192,6,355,7,28560
01da7f08d8327e0b4fab7edaa0c417a4,8,350,21,528
01e20e6604216c8adb31d463214ba00c,1,300,19,2816
01e25be2c25019945382e057a8292e72,1,1575,41,7626
01e66dc5bf4d5a186d856506a4f0fea2,1,200,5,1690
01ea47d0dff23faa8d07ba3f353d2af0,1,300,9,352
01ebdb7ca76a3c581c0d5229ed80be7c,1,600,2,8928
01ece5f98b5fe510881404f92229a49f,1,900,8,2560
01ecf875ab885ebcae3dd2b1ccc4715f,1,550,5,18000
01ef0716b68c8493434ad32430c24e18,5,1250,13,2560
01f2d77d8a63937c77c7128ce4bd2ada,4,650,13,11880
01f76c07f91a533acd46cc6ab989be23,1,750,16,8712
01fc56750f0d3444c4a1746ecf19dee0,3,800,14,4096
01ff1ff8aa5dec93e9938b989393a4ca,7,350,6,4212
02044dc95cf33aaf55e03bde1b042539,2,150,15,2728
02064a5bc5d3656476e9dab151c69989,2,450,8,880
02090f97a28b3d10d19a09f045f6df34,1,375,21,2592
020a80cb704bf65f38761fcedf2af192,13,800,6,5616
0210b75f6f4de09dfc17a66803290f8a,1,1800,7,14000
021426c19c264227de3c34e3f5e2f4ee,1,1750,6,19200
0214e4741dab5812bb31a61af1dc3de5,1,2100,12,23625
021c41b063949bf529b79289c58e0a8b,1,550,11,16000
021d39ee869e87d5288f4e731df4a90e,1,10350,23,61200
021f04378f9692f8747f926f38bb8281,1,16150,3,37200
022649cdc8ef07dddfa3de3409647e00,1,825,4,5376
